Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,7," 827,065,897 ",n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,164.88," 94,852,009,764 ",n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,9.53," 409,554,323 ",n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,53.5," 7,948,630,088 ",n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,25.25," 2,507,009,577 ",n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,3.67," 78,771,607 ",n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,45.57," 7,491,863,713 ",n/a,n/a,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",7.13," 545,837,820 ",n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",0.8101," 20,497,070 ",n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,40.93," 1,425,432,887 ",n/a,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",64.63," 4,365,594,731 ",n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,18.77," 40,033,077,593 ",n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,86.89," 153,569,178,767 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,65.01," 96,116,234,308 ",n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,16.73," 1,098,960,140 ",n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,9.36," 117,464,088 ",n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,5.93," 506,469,149 ",n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,12.44," 162,641,456 ",n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",6.99," 93,707,185 ",n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq
AOD,Aberdeen Total Dynamic Dividend Fund,8.16," 860,316,952 ",n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,39.91," 2,648,333,532 ",n/a,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,27.85," 2,352,014,518 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
ACN,Accenture plc,192.88," 123,014,684,869 ",n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,9.56," 935,978,817 ",n/a,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",17.31," 44,676,418 ",n/a,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,21.88," 1,344,697,342 ",n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
AYI,"Acuity Brands, Inc. ",128.34," 5,120,647,414 ",n/a,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,25.99," 1,958,755,245 ",n/a,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",15.63," 1,651,385,978 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",15.37," 453,611,213 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,5.64," 657,374,142 ",n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
ADNT,Adient plc,24.18," 2,263,748,865 ",n/a,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADT,ADT Inc.,4.53," 3,351,709,424 ",n/a,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,48.11," 2,722,160,020 ",n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,142.23," 10,203,135,020 ",n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",32.49," 2,889,450,812 ",n/a,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",32.94," 1,905,391,308 ",n/a,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms
ASIX,AdvanSix Inc.,22.67," 630,583,801 ",n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
AVK,Advent Convertible and Income Fund,14.53," 501,651,461 ",n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk
ACM,AECOM,33.58," 5,296,463,560 ",n/a,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
AEB,Aegon NV,24, -   ,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AEG,Aegon NV,4.25," 8,561,588,922 ",n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,26.27, -   ,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
AER,Aercap Holdings N.V.,52.22," 7,133,407,929 ",n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",48.8," 3,839,393,778 ",n/a,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
AMG,"Affiliated Managers Group, Inc.",79.25," 4,013,184,655 ",n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",26.31, -   ,n/a,2019,Finance,Investment Managers,https://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,52.92," 39,181,086,088 ",n/a,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",16.06," 525,734,860 ",n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.7924, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",26.02, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,67.87," 5,174,427,193 ",n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",67.64," 21,373,790,329 ",n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,58.68," 13,982,490,978 ",n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,70.83," 2,972,538,405 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
AL,Air Lease Corporation,38.98," 4,353,132,429 ",n/a,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
AL^A,Air Lease Corporation,26.557, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/al^a
APD,"Air Products and Chemicals, Inc.",229.67," 50,608,964,774 ",n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,20.65," 1,547,733,958 ",n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,2.53," 800,453,716 ",n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
ALP^Q,Alabama Power Company,26.38, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",107.61," 1,271,754,242 ",n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,6.99," 2,733,606,862 ",n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",61.17," 7,540,563,716 ",n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,82.81," 2,674,763,000 ",n/a,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,68.45," 7,254,759,771 ",n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,19.11," 3,546,000,825 ",n/a,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
ALC,Alcon Inc.,59.89," 29,268,243,000 ",n/a,2019,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/alc
ALEX,"Alexander & Baldwin, Inc.",22.81," 1,647,834,477 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",361.68," 1,847,204,647 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",144.26," 16,361,610,137 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",38.45, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d
AQN,Algonquin Power & Utilities Corp.,12.98," 6,432,770,583 ",n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,27.49, -   ,n/a,2018,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,26.73, -   ,n/a,2019,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqnb
BABA,Alibaba Group Holding Limited,164.03," 427,063,749,982 ",n/a,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,753.53," 10,873,578,810 ",n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,18.24," 2,299,683,076 ",n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,97.46," 9,100,458,486 ",n/a,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,159.94," 52,465,552,437 ",n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
ALE,"Allete, Inc.",84.91," 4,386,071,986 ",n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale
ADS,Alliance Data Systems Corporation,152.44," 7,789,319,516 ",n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.74," 394,955,421 ",n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb
AWF,Alliance World Dollar Government Fund II,11.81," 1,018,372,485 ",n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,27.43," 2,647,665,636 ",n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.3," 169,790,212 ",n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/cbh
NCV,AllianzGI Convertible & Income Fund,5.7," 513,053,147 ",n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncv
NCV^A,AllianzGI Convertible & Income Fund,26.0251, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncv^a
NCZ,AllianzGI Convertible & Income Fund II,5," 379,637,450 ",n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz
NCZ^A,AllianzGI Convertible & Income Fund II,25.59, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncz^a
ACV,AllianzGI Diversified Income & Convertible Fund,23.95," 247,387,358 ",n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,21.75," 602,669,989 ",n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.16," 1,152,787,225 ",n/a,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj
ALSN,"Allison Transmission Holdings, Inc.",43.57," 5,250,511,383 ",n/a,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),104.44," 34,380,790,756 ",n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),25.52, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),26.5, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b
ALL^D,Allstate Corporation (The),25.7435, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),25.34, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),25.64, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f
ALL^G,Allstate Corporation (The),27.17, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^g
ALL^H,Allstate Corporation (The),25.42, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^h
ALLY,Ally Financial Inc.,31.33," 12,231,712,320 ",n/a,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,26.18, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a
AYX,"Alteryx, Inc.",135.33," 8,498,690,168 ",n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ayx
ATUS,"Altice USA, Inc.",26.7," 17,294,431,451 ",n/a,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus
MO,Altria Group,46.78," 87,389,525,687 ",n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,7.37," 5,018,283,986 ",n/a,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
ABEV,Ambev S.A.,4.87," 76,586,943,345 ",n/a,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",11.67," 1,211,927,878 ",n/a,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc
AMCR,Amcor plc,10.43," 16,933,413,759 ",n/a,2019,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/amcr
AEE,Ameren Corporation,76.51," 19,384,001,917 ",n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AMRC,"Ameresco, Inc.",14.22," 659,991,353 ",n/a,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc
AMOV,"America Movil, S.A.B. de C.V.",13.5," 44,557,338,830 ",n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",13.72," 45,283,458,425 ",n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx
AAT,"American Assets Trust, Inc.",46.9," 2,800,969,210 ",n/a,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat
AXL,"American Axle & Manufacturing Holdings, Inc.",7.59," 853,691,504 ",n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,46.81," 6,431,804,425 ",n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",16.38," 2,821,031,233 ",n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",90.25," 44,565,008,768 ",n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AEP^B,"American Electric Power Company, Inc.",55.855, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aep^b
AEL,American Equity Investment Life Holding Company,22.64," 2,059,768,726 ",n/a,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael
AXP,American Express Company,126.32," 104,804,380,142 ",n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp
AFG,"American Financial Group, Inc.",102.33," 9,203,751,966 ",n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",26.89, -   ,n/a,2019,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgb
AFGE,"American Financial Group, Inc.",25.95, -   ,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",26.17, -   ,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh
AMH,American Homes 4 Rent,24.53," 7,370,600,826 ",n/a,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh
AMH^D,American Homes 4 Rent,27.03, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,27.08, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,26.54, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,26.43, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g
AMH^H,American Homes 4 Rent,27.34, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^h
AIG,"American International Group, Inc.",56.12," 48,819,253,908 ",n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws
AIG^A,"American International Group, Inc.",27.53, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig^a
ARL,"American Realty Investors, Inc.",12.28," 196,444,093 ",n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/arl
ARA,"American Renal Associates Holdings, Inc",7.22," 234,773,209 ",n/a,2016,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ara
AWR,American States Water Company,84.24," 3,102,716,476 ",n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),221.1," 97,877,676,052 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
AVD,American Vanguard Corporation,13.61," 411,020,190 ",n/a,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd
AWK,American Water Works,121.83," 22,008,916,126 ",n/a,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk
COLD,Americold Realty Trust,35.43," 6,790,487,228 ",n/a,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cold
APU,"AmeriGas Partners, L.P.",31.24," 2,905,310,753 ",n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/apu
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",128.72," 16,845,632,997 ",n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),89.26," 18,595,134,219 ",n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,0.6286," 25,370,092 ",n/a,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,55.78," 2,602,816,345 ",n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/amn
AMRX,"Amneal Pharmaceuticals, Inc.",2.85," 852,410,105 ",n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrx
AP,Ampco-Pittsburgh Corporation,3.98," 50,309,293 ",n/a,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,88.01," 26,178,414,146 ",n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph
AXR,AMREP Corporation,5.53," 44,997,079 ",n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr
HKIB,AMTD International Inc.,9.16," 2,112,874,958 ",n/a,2019,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/hkib
AME,"AMTEK, Inc.",86.09," 19,658,291,127 ",n/a,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame
PLAN,"Anaplan, Inc.",56.68," 7,320,953,002 ",n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/plan
FINS,Angel Oak Financial Strategies Income Term Trust,20.1," 216,075,000 ",n/a,2019,n/a,n/a,https://www.nasdaq.com/symbol/fins
AU,AngloGold Ashanti Limited,19.57," 8,114,826,805 ",n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,95.67," 187,453,823,945 ",n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,59.12," 1,993,740,178 ",n/a,n/a,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,9.21," 13,412,186,006 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly
NLY^D,Annaly Capital Management Inc,25.54, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^d
NLY^F,Annaly Capital Management Inc,25.78, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^f
NLY^G,Annaly Capital Management Inc,24.69, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^g
NLY^I,Annaly Capital Management Inc,25.64, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^i
AM,Antero Midstream Corporation,7.22," 3,659,793,741 ",n/a,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,3.52," 1,088,461,412 ",n/a,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",286.9," 73,393,955,828 ",n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm
ANH,Anworth Mortgage Asset  Corporation,3.66," 361,463,020 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,26.6329, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,21.77, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,25.47, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^c
AON,Aon plc,190.98," 45,041,083,388 ",n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon
APA,Apache Corporation,21.92," 8,241,020,776 ",n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,50.39," 7,502,274,788 ",n/a,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv
APY,Apergy Corporation,28.53," 2,209,929,406 ",n/a,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/apy
APHA,Aphria Inc.,6.92," 1,737,190,710 ",n/a,2018,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/apha
ARI,Apollo Commercial Real Estate Finance,18.8," 2,886,394,024 ",n/a,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ari
APO,"Apollo Global Management, LLC",33.59," 13,537,899,632 ",n/a,2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, LLC",26.45, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, LLC",26.75, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^b
AFT,Apollo Senior Floating Rate Fund Inc.,14.78," 230,169,842 ",n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,14.73," 213,055,103 ",n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",15.75," 3,525,939,743 ",n/a,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",53.87," 2,079,024,303 ",n/a,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",121.22," 7,763,078,749 ",n/a,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/atr
APTV,Aptiv PLC,83.56," 21,407,466,775 ",n/a,2011,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv
WTR,"Aqua America, Inc.",43.65," 9,418,662,034 ",n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtr
WTRU,"Aqua America, Inc.",59.13, -   ,n/a,2019,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtru
AQ,Aquantia Corp.,13.17," 475,243,836 ",n/a,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq
WAAS,AquaVenture Holdings Limited,18.22," 577,889,297 ",n/a,2016,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/waas
ARMK,Aramark,37.92," 9,362,772,406 ",n/a,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,12.64," 1,192,471,276 ",n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,26.4, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^a
